outcome,n_lsoa,moran_i,expected_i,permutation_p_value,z_sim,permutations,queen_islands
below_c_rate,1702,0.41714261826115584,-0.0005878894767783657,0.001,30.439353913690155,999,0
mean_current_energy_efficiency,1702,0.4052182141071043,-0.0005878894767783657,0.001,30.0585194933442,999,0
