,below_c_rate,pre_1930_pct,post_1990_pct,flat_maisonette_pct,terraced_pct,median_floor_area,electric_fuel_pct,private_rented_pct,social_rented_pct,imd_score
below_c_rate,1.0,0.2912320940818489,-0.5482793573392027,-0.48049135408864485,-0.33301746593677894,0.4574245530630691,-0.1930543620893651,-0.19916390093396327,-0.5755255747778598,-0.442032332208837
pre_1930_pct,0.2912320940818489,1.0,-0.08319644330975502,0.05156565512981741,0.4475241739105936,-0.04253354883310186,0.18136767793437242,0.5465801149003587,-0.04407582817912115,0.16231866782617022
post_1990_pct,-0.5482793573392027,-0.08319644330975502,1.0,0.3066197844284308,0.1375615500001382,-0.19426964597928872,0.3515682608757347,0.27110580771465953,0.01207416169238149,-0.05420648645082525
flat_maisonette_pct,-0.48049135408864485,0.05156565512981741,0.3066197844284308,1.0,0.4808194955228159,-0.5696339064885222,0.6779005566478774,0.4755548410610148,0.43960147688578144,0.33440888361105725
terraced_pct,-0.33301746593677894,0.4475241739105936,0.1375615500001382,0.4808194955228159,1.0,-0.5544475881813614,0.3515687952120913,0.6913338600642673,0.5048465350398789,0.6536675873344817
median_floor_area,0.4574245530630691,-0.04253354883310186,-0.19426964597928872,-0.5696339064885222,-0.5544475881813614,1.0,-0.3761035017648279,-0.5208525488172916,-0.5279712223270708,-0.5643122184068707
electric_fuel_pct,-0.1930543620893651,0.18136767793437242,0.3515682608757347,0.6779005566478774,0.3515687952120913,-0.3761035017648279,1.0,0.4854130614132937,0.08139422258316696,0.08432499482250615
private_rented_pct,-0.19916390093396327,0.5465801149003587,0.27110580771465953,0.4755548410610148,0.6913338600642673,-0.5208525488172916,0.4854130614132937,1.0,0.17970524224828383,0.3907479858125237
social_rented_pct,-0.5755255747778598,-0.04407582817912115,0.01207416169238149,0.43960147688578144,0.5048465350398789,-0.5279712223270708,0.08139422258316696,0.17970524224828383,1.0,0.8632212288971598
imd_score,-0.442032332208837,0.16231866782617022,-0.05420648645082525,0.33440888361105725,0.6536675873344817,-0.5643122184068707,0.08432499482250615,0.3907479858125237,0.8632212288971598,1.0
