lad24_name,n_lsoa,n_epc,mean_below_c_rate,median_below_c_rate,mean_epc_score,median_coverage
Stockport,191,47638,0.5903102647199832,0.6239669421487604,65.45911110663539,0.3428120063191153
Trafford,139,39840,0.5769715124838647,0.6055776892430279,65.65361643735613,0.3810741687979539
Bury,120,33177,0.560586526487738,0.563544679412538,65.79380436215071,0.38956976218225753
Oldham,142,37257,0.5139434913638476,0.5424630364226469,66.46437268926589,0.39366727347969743
Bolton,177,48543,0.5017862677094552,0.5060240963855421,66.71954918812085,0.3707865168539326
Tameside,142,40066,0.49800565382671813,0.5097709117316961,67.0618650724519,0.38522964885716343
Wigan,200,54026,0.49774959277598796,0.5107869839449541,67.54943440351322,0.3386585147278772
Rochdale,135,39462,0.45718262873624776,0.4771428571428571,67.70030830525381,0.4123422159887798
Manchester,295,129127,0.4133370455496028,0.4215304798962386,68.85319365310728,0.5522959183673469
Salford,161,71174,0.372513995226881,0.3908045977011494,69.96850787625735,0.4900990099009901
