construct,n_categories,mean_sum,minimum_sum,maximum_sum,maximum_absolute_deviation_from_one
Dwelling age,3,1.0,0.9999999999999997,1.0000000000000002,3.3306690738754696e-16
EPC property category,4,1.0,0.9999999999999997,1.0000000000000002,3.3306690738754696e-16
EPC built form,3,1.0,0.9999999999999997,1.0000000000000002,3.3306690738754696e-16
Main fuel,3,1.0,0.9999999999999997,1.0000000000000002,3.3306690738754696e-16
Census tenure,5,1.0,0.9999999999999996,1.0000000000000002,4.440892098500626e-16
