,below_c_rate,pre_1930_pct,mid_1930_1990_pct,post_1990_pct,house_pct,bungalow_pct,flat_maisonette_pct,park_home_pct,detached_pct,semi_detached_pct,terraced_pct,median_floor_area,mains_gas_pct,electric_fuel_pct,other_fuel_pct,owner_occupied_pct,shared_ownership_pct,social_rented_pct,private_rented_pct,rent_free_pct,imd_score
below_c_rate,1.0,0.2912320940818489,0.1652749917844613,-0.5482793573392027,0.3414219709225254,0.22254592013498706,-0.48049135408864485,-0.019541040151481833,0.10667277973756084,0.286297864014833,-0.33301746593677894,0.4574245530630691,0.18129308965054705,-0.1930543620893651,0.14064092999995698,0.6177997682458257,-0.13980970467609766,-0.5755255747778598,-0.19916390093396327,-0.3531220292749193,-0.442032332208837
pre_1930_pct,0.2912320940818489,1.0,-0.6572822029897809,-0.08319644330975502,0.12591385344472295,-0.2574407354168953,0.05156565512981741,0.04856107623175831,-0.2717015500882882,-0.31626117947823923,0.4475241739105936,-0.04253354883310186,-0.18620208671023866,0.18136767793437242,0.13487596156733397,-0.09187179413218463,0.03891426944438956,-0.04407582817912115,0.5465801149003587,0.027136012466314446,0.16231866782617022
mid_1930_1990_pct,0.1652749917844613,-0.6572822029897809,1.0,-0.5665443443153738,0.06474603146751481,0.4201533762230856,-0.26654673930420264,-0.061941353225397705,0.0951216556770279,0.5396864963642608,-0.5130212707762369,0.2020602382415379,0.3906362639569264,-0.3912533801678925,-0.025101006660720866,0.26511718631173936,-0.10304589100314578,0.05664152690266162,-0.7024064619022486,0.015873647411392494,-0.09148153412358895
post_1990_pct,-0.5482793573392027,-0.08319644330975502,-0.5665443443153738,1.0,-0.2466980462281784,-0.1333847359337776,0.3066197844284308,0.022835395367754016,0.24208710830063243,-0.2929979761561265,0.1375615500001382,-0.19426964597928872,-0.34678484402448206,0.3515682608757347,-0.06004402998200046,-0.16712518006960966,0.10592135810383023,0.01207416169238149,0.27110580771465953,-0.03570300234841348,-0.05420648645082525
house_pct,0.3414219709225254,0.12591385344472295,0.06474603146751481,-0.2466980462281784,1.0,0.01651977703301358,-0.8157394651211023,0.04179416188784794,-0.030385725219348646,0.23385884749563338,-0.22988596668007855,0.45898239201391455,0.5681592630561804,-0.5718767413812001,0.02625285203010654,0.39149302683786147,-0.09979210636051412,-0.2556529137352233,-0.22066361166741869,-0.1131075787443863,-0.12818275234327453
bungalow_pct,0.22254592013498706,-0.2574407354168953,0.4201533762230856,-0.1333847359337776,0.01651977703301358,1.0,-0.45824006200706613,-0.006875544355012974,0.3819008796936677,0.2857437225407428,-0.45294167911353406,0.29336608971478334,0.30761413631499795,-0.3319129508749856,0.13903885911120106,0.4903545420285308,-0.14592456239875073,-0.24222261692957914,-0.563728408253695,-0.08546426467647919,-0.2859050851044777
flat_maisonette_pct,-0.48049135408864485,0.05156565512981741,-0.26654673930420264,0.3066197844284308,-0.8157394651211023,-0.45824006200706613,1.0,-0.02565861649366052,-0.19706463384505057,-0.3524047891909168,0.4808194955228159,-0.5696339064885222,-0.6571003187795563,0.6779005566478774,-0.09718525484318398,-0.6235549780275903,0.1674653531246207,0.43960147688578144,0.4755548410610148,0.2027581991966198,0.33440888361105725
park_home_pct,-0.019541040151481833,0.04856107623175831,-0.061941353225397705,0.022835395367754016,0.04179416188784794,-0.006875544355012974,-0.02565861649366052,1.0,-0.0023028264383748347,-0.01970319878741302,0.034435509597927925,-0.008030979264632082,-0.05312278775187803,0.036505404928725275,0.0879479960846763,-0.005631563357397401,-0.021606075176327347,-0.008764173285065293,0.053776947275158846,-0.0008355640978577473,0.018583512177635236
detached_pct,0.10667277973756084,-0.2717015500882882,0.0951216556770279,0.24208710830063243,-0.030385725219348646,0.3819008796936677,-0.19706463384505057,-0.0023028264383748347,1.0,0.08903611073375606,-0.6087180898160925,0.42586601748937675,0.03533611041464057,-0.06575694770956947,0.10009387635151955,0.6046637851905768,-0.09027280135371157,-0.5419315498728439,-0.43318753012289357,-0.3653786238569618,-0.6787149497098284
semi_detached_pct,0.286297864014833,-0.31626117947823923,0.5396864963642608,-0.2929979761561265,0.23385884749563338,0.2857437225407428,-0.3524047891909168,-0.01970319878741302,0.08903611073375606,1.0,-0.7530211468859423,0.2905953449355783,0.31674646422275426,-0.3096420709117142,-0.04145937821074919,0.4090395410192924,-0.04808894608118144,-0.18602010603224226,-0.4855375517645034,-0.14542513226602294,-0.3004068253816673
terraced_pct,-0.33301746593677894,0.4475241739105936,-0.5130212707762369,0.1375615500001382,-0.22988596668007855,-0.45294167911353406,0.4808194955228159,0.034435509597927925,-0.6087180898160925,-0.7530211468859423,1.0,-0.5544475881813614,-0.3372158704366956,0.3515687952120913,-0.01922897022293478,-0.7053322989232849,0.12074147218871896,0.5048465350398789,0.6913338600642673,0.3353863902064369,0.6536675873344817
median_floor_area,0.4574245530630691,-0.04253354883310186,0.2020602382415379,-0.19426964597928872,0.45898239201391455,0.29336608971478334,-0.5696339064885222,-0.008030979264632082,0.42586601748937675,0.2905953449355783,-0.5544475881813614,1.0,0.35480464425475267,-0.3761035017648279,0.08606445772935915,0.6894660866655689,-0.11468826563467616,-0.5279712223270708,-0.5208525488172916,-0.3280799151786212,-0.5643122184068707
mains_gas_pct,0.18129308965054705,-0.18620208671023866,0.3906362639569264,-0.34678484402448206,0.5681592630561804,0.30761413631499795,-0.6571003187795563,-0.05312278775187803,0.03533611041464057,0.31674646422275426,-0.3372158704366956,0.35480464425475267,1.0,-0.9820669762648366,-0.11668438628050995,0.2972217081976109,-0.09671946151244605,-0.06131529681386878,-0.4648415836027568,-0.021053854766213645,-0.06829263766594124
electric_fuel_pct,-0.1930543620893651,0.18136767793437242,-0.3912533801678925,0.3515682608757347,-0.5718767413812001,-0.3319129508749856,0.6779005566478774,0.036505404928725275,-0.06575694770956947,-0.3096420709117142,0.3515687952120913,-0.3761035017648279,-0.9820669762648366,1.0,-0.004073615776572526,-0.32031715665572313,0.1042759806335654,0.08139422258316696,0.4854130614132937,0.032315769218551366,0.08432499482250615
other_fuel_pct,0.14064092999995698,0.13487596156733397,-0.025101006660720866,-0.06004402998200046,0.02625285203010654,0.13903885911120106,-0.09718525484318398,0.0879479960846763,0.10009387635151955,-0.04145937821074919,-0.01922897022293478,0.08606445772935915,-0.11668438628050995,-0.004073615776572526,1.0,0.13958443905476703,-0.03320698602219572,-0.1200483736927038,-0.017680260919961114,-0.0531804547538982,-0.046135519690078335
owner_occupied_pct,0.6177997682458257,-0.09187179413218463,0.26511718631173936,-0.16712518006960966,0.39149302683786147,0.4903545420285308,-0.6235549780275903,-0.005631563357397401,0.6046637851905768,0.4090395410192924,-0.7053322989232849,0.6894660866655689,0.2972217081976109,-0.32031715665572313,0.13958443905476703,1.0,-0.15894137358351199,-0.834293740060785,-0.5671377483473011,-0.537194299273189,-0.8409971979111118
shared_ownership_pct,-0.13980970467609766,0.03891426944438956,-0.10304589100314578,0.10592135810383023,-0.09979210636051412,-0.14592456239875073,0.1674653531246207,-0.021606075176327347,-0.09027280135371157,-0.04808894608118144,0.12074147218871896,-0.11468826563467616,-0.09671946151244605,0.1042759806335654,-0.03320698602219572,-0.15894137358351199,1.0,0.11652388778979139,0.11990498916250913,0.04266623922065998,0.09280891455973808
