,below_c_rate,pre_1930_pct,mid_1930_1990_pct,post_1990_pct,house_pct,bungalow_pct,flat_maisonette_pct,park_home_pct,detached_pct,semi_detached_pct,terraced_pct,median_floor_area,mains_gas_pct,electric_fuel_pct,other_fuel_pct,owner_occupied_pct,shared_ownership_pct,social_rented_pct,private_rented_pct,rent_free_pct,imd_score
below_c_rate,0.0,1.2641656121597928e-34,6.852731762609851e-12,3.617678164171387e-134,9.95870446769589e-48,1.5254725220607395e-20,5.046347070032967e-99,0.42044112705764497,1.0328803402686272e-05,1.806277464615962e-33,2.3437894285741758e-45,9.218473305249486e-89,4.8335154010275696e-14,9.406937153231175e-16,5.646483766553387e-09,1.0684378965282212e-179,6.950224620456091e-09,1.0268610818205992e-150,1.0973076224431685e-16,3.7357781102068117e-51,2.4354557772517533e-82
pre_1930_pct,1.2641656121597928e-34,0.0,4.48456749383972e-211,0.0005909587599944854,1.8726784531799393e-07,3.61659939995689e-27,0.033402719466758435,0.04516528566662742,3.465879540704092e-30,7.617351956909149e-41,1.3585063312498583e-84,0.07938954196054547,9.633833959428445e-15,4.7180795127490243e-14,2.326247642417653e-08,0.00014738000245502836,0.10852718043182258,0.0690780166301418,3.470865861897688e-133,0.26318793844063615,1.624650716494301e-11
mid_1930_1990_pct,6.852731762609789e-12,4.484567493838975e-211,0.0,4.336522379343081e-145,0.007540996759407093,9.187291441290145e-74,4.4897152108286905e-29,0.010588725723524688,8.483848968710375e-05,2.9309291672580705e-129,6.723210615090239e-115,3.865963950724572e-17,3.7162580437595927e-63,2.286489070663888e-63,0.30069137950603503,9.045264145878677e-29,2.0496809613290012e-05,0.019443199515058435,2.651820292243982e-253,0.5128333702194129,0.00015729990090625404
post_1990_pct,3.617678164171387e-134,0.0005909587599944867,4.336522379343081e-145,0.0,5.145773558219443e-25,3.3234537855112895e-08,2.2397556075200692e-38,0.3464426527570049,4.020868648432724e-24,4.817679884829195e-35,1.2116272446281725e-08,6.169774679712842e-16,2.79284479174661e-49,1.085832476219622e-50,0.013228777360014977,3.9603922223181435e-12,1.1926316178132116e-05,0.6186423716593915,4.67323587947346e-30,0.14093302055590204,0.025331714652252098
house_pct,9.958704467695523e-48,1.872678453179952e-07,0.007540996759407093,5.14577355821951e-25,0.0,0.4958245598711357,0.0,0.08475890992373067,0.21022731810991888,1.4175020750661988e-22,7.54364858615318e-22,1.9775967008322535e-89,4.348682142785425e-146,2.0798858738815097e-148,0.27904808795250075,1.892927089849971e-63,3.7198166065950195e-05,8.389996923604375e-27,3.242508469877068e-20,2.898595773238051e-06,1.1191203817319329e-07
bungalow_pct,1.5254725220607395e-20,3.61659939995689e-27,9.187291441290145e-74,3.3234537855112895e-08,0.4958245598711357,0.0,4.122201243889643e-89,0.776833728851092,3.2209597578513687e-60,2.4269328068204818e-33,7.398865416272498e-87,3.9366448982976973e-35,1.2585395217647742e-38,4.744068837385579e-45,8.417714783629237e-09,1.173355743984874e-103,1.4652740494241184e-09,3.787439833164271e-24,2.3203694655115684e-143,0.00041599458298091066,2.2270769543590164e-33
flat_maisonette_pct,5.046347070032967e-99,0.033402719466758435,4.4897152108285655e-29,2.2397556075200692e-38,0.0,4.122201243889643e-89,0.0,0.29007802636944974,2.314202191111604e-16,6.117976382636483e-51,3.55835931641634e-99,5.266025321350707e-147,6.414824797100322e-211,1.9858649704998258e-229,5.9201564016119505e-05,5.428142092234197e-184,3.5781858652860887e-12,2.3491435293613142e-81,9.24066187724685e-97,2.9994542084107616e-17,9.601643616342062e-46
park_home_pct,0.42044112705764497,0.04516528566662742,0.010588725723524688,0.3464426527570049,0.08475890992373067,0.776833728851092,0.29007802636944974,0.0,0.9243671468074811,0.41659479045402936,0.1556004649610442,0.7405822414520234,0.02841316747242007,0.13221180188233964,0.00028047494943744583,0.8164114123739089,0.37302880924227505,0.7178677760725163,0.026516692317415238,0.9725213985729823,0.4435743686738761
detached_pct,1.0328803402686272e-05,3.465879540704092e-30,8.483848968710375e-05,4.020868648432724e-24,0.21022731810991888,3.2209597578513687e-60,2.314202191111604e-16,0.9243671468074811,0.0,0.00023523654113794123,4.227282057006209e-173,6.08710120703635e-76,0.14506504985261917,0.006652290689799459,3.5224163632579966e-05,3.182362174886265e-170,0.0001921561623012113,1.5785183868109506e-130,8.510057757909225e-79,6.681813343868862e-55,3.4835383234646044e-230
semi_detached_pct,1.8062774646159613e-33,7.617351956909407e-41,2.9309291672580705e-129,4.817679884829195e-35,1.4175020750661988e-22,2.4269328068203343e-33,6.117976382636483e-51,0.41659479045402936,0.00023523654113794123,0.0,0.0,1.7870976266397603e-34,5.690134131301209e-41,3.8575617637127076e-39,0.0872847786190177,1.2105675006456956e-69,0.04729887486641796,1.0235589906102801e-14,2.2455514518116395e-101,1.6680687195926366e-09,7.80710465764915e-37
