model,moran_i,expected_i,permutation_p_value,z_sim,permutations,queen_islands
dummy,0.4377554109206014,-0.0005878894767783657,0.001,31.991554633158028,999,0
random_forest,0.1766349140035326,-0.0005878894767783657,0.001,12.4802853142546,999,0
xgboost,0.19223474919053726,-0.0005878894767783657,0.001,13.480643690305538,999,0
