fold,held_out_lad,feature,importance_mean_mae_pp,importance_std_mae_pp
1,Bolton,pre_1930_pct,0.6265233324514771,0.21154573922553527
1,Bolton,post_1990_pct,4.941915687474259,0.3503237002615707
1,Bolton,flat_maisonette_pct,0.19095104035565297,0.09347039184676716
1,Bolton,terraced_pct,0.1641248633666828,0.07136441912017338
1,Bolton,median_floor_area,0.11756631537532183,0.0523842114052739
1,Bolton,electric_fuel_pct,0.01886667740691017,0.03992816276648409
1,Bolton,private_rented_pct,-0.009846929039389395,0.008408072741710017
1,Bolton,social_rented_pct,3.10756111893051,0.3232436080237327
1,Bolton,imd_score,0.22987410954065313,0.10754201130930237
2,Bury,pre_1930_pct,1.0082953661112781,0.25445870881250254
2,Bury,post_1990_pct,3.5204157567159875,0.644147004047392
2,Bury,flat_maisonette_pct,0.3408567384416959,0.16325178886870315
2,Bury,terraced_pct,0.07619601176243718,0.08205101613335665
2,Bury,median_floor_area,0.04698513317516504,0.06951011369295491
2,Bury,electric_fuel_pct,0.30602369060421925,0.10475019155369518
2,Bury,private_rented_pct,-0.048221631223375284,0.05540894148558667
2,Bury,social_rented_pct,2.588434183577653,0.3310234488093018
2,Bury,imd_score,0.021528875037135364,0.0986392139457194
3,Manchester,pre_1930_pct,3.2626675476258584,0.23629872674057661
3,Manchester,post_1990_pct,7.430218014823886,0.6041305914171946
3,Manchester,flat_maisonette_pct,0.617925561484835,0.13396370117422732
3,Manchester,terraced_pct,0.2248444879608938,0.07507033803403837
3,Manchester,median_floor_area,0.23446902844857798,0.07644467575278975
3,Manchester,electric_fuel_pct,0.28079065919827256,0.13455989899924056
3,Manchester,private_rented_pct,0.16135387802718598,0.11281007443548481
3,Manchester,social_rented_pct,3.6576260074984837,0.41681887992741745
3,Manchester,imd_score,0.07305802362404998,0.0966622486876169
4,Oldham,pre_1930_pct,1.118272331999567,0.2171278981728576
4,Oldham,post_1990_pct,3.153164830643859,0.26187628597373375
4,Oldham,flat_maisonette_pct,0.3487022468451979,0.15582805588411708
4,Oldham,terraced_pct,-0.02185437236321488,0.09573965193032101
4,Oldham,median_floor_area,0.13430303586702924,0.10697162257666319
4,Oldham,electric_fuel_pct,0.07494088767461116,0.09049954701587716
4,Oldham,private_rented_pct,0.0029951253159406386,0.044013261298019524
4,Oldham,social_rented_pct,3.289053373590204,0.46274233729361325
4,Oldham,imd_score,0.06663904241262561,0.1313667541632492
5,Rochdale,pre_1930_pct,0.3707403155397339,0.16336744969432918
5,Rochdale,post_1990_pct,3.4752021616502375,0.39661218695901257
5,Rochdale,flat_maisonette_pct,0.7049925437506966,0.1265533662261146
5,Rochdale,terraced_pct,0.22391563790245317,0.09443323320270657
5,Rochdale,median_floor_area,0.014543252951192498,0.0489970959754859
5,Rochdale,electric_fuel_pct,0.10560845486489626,0.05414071215621305
5,Rochdale,private_rented_pct,0.05636907455573943,0.02357948438958975
5,Rochdale,social_rented_pct,3.1935763214198594,0.5171412916887733
5,Rochdale,imd_score,0.27104432937839407,0.1016346079115083
6,Salford,pre_1930_pct,1.371861911666309,0.18080630674936068
6,Salford,post_1990_pct,6.539703619388784,0.4980328472133216
6,Salford,flat_maisonette_pct,0.7542533088807486,0.2577981288177249
6,Salford,terraced_pct,0.24081370991376416,0.09447867843629178
6,Salford,median_floor_area,-0.04422571975470753,0.05705678939577356
6,Salford,electric_fuel_pct,0.45005095330640843,0.18656331932797987
6,Salford,private_rented_pct,0.49329307663610356,0.117373391083311
6,Salford,social_rented_pct,3.3352964322934398,0.4590779519069398
6,Salford,imd_score,0.22900577429381067,0.08731178205989135
7,Stockport,pre_1930_pct,0.9094642985708254,0.15303064934770122
7,Stockport,post_1990_pct,2.919113729113504,0.2555947406523376
7,Stockport,flat_maisonette_pct,0.5355706417589134,0.1137483767203986
7,Stockport,terraced_pct,0.12645794717396494,0.0793458795430842
7,Stockport,median_floor_area,0.02716700336283262,0.07431808312212744
7,Stockport,electric_fuel_pct,0.2166618075699939,0.09080949976773137
7,Stockport,private_rented_pct,-0.021275615509311986,0.02631321530503676
7,Stockport,social_rented_pct,2.619788596361129,0.3970774349556048
7,Stockport,imd_score,-0.031124590098368588,0.04538802174817035
8,Tameside,pre_1930_pct,1.5001440393020078,0.17809869255456742
8,Tameside,post_1990_pct,3.5626656591780472,0.46807288670696773
8,Tameside,flat_maisonette_pct,0.5506025354601318,0.26443768173070814
8,Tameside,terraced_pct,0.2056654874113657,0.08761115684532558
8,Tameside,median_floor_area,0.09903950304851845,0.06947597062786927
8,Tameside,electric_fuel_pct,0.32762834509441924,0.14211433545137409
8,Tameside,private_rented_pct,-0.032881135382687665,0.06429629259337913
8,Tameside,social_rented_pct,4.584472207537831,0.5195254866405083
8,Tameside,imd_score,0.22970598284198168,0.10279984824042793
9,Trafford,pre_1930_pct,0.8770793661573668,0.16132660721359907
9,Trafford,post_1990_pct,5.446263603073323,0.5999256185556279
9,Trafford,flat_maisonette_pct,0.5870533572338099,0.1423544110936438
9,Trafford,terraced_pct,0.10782763276985005,0.10009621458904829
9,Trafford,median_floor_area,0.010175455047990622,0.037836626634283485
9,Trafford,electric_fuel_pct,0.1846781052661441,0.10474961214584214
9,Trafford,private_rented_pct,0.0533828887884884,0.033887195806497176
9,Trafford,social_rented_pct,1.837965872307592,0.3245146791526256
9,Trafford,imd_score,0.01739047788672967,0.015295461193720623
10,Wigan,pre_1930_pct,0.7788686762221616,0.1621408984190602
10,Wigan,post_1990_pct,4.649029001394125,0.5269340653487268
10,Wigan,flat_maisonette_pct,0.2764368437367466,0.06224812976622233
10,Wigan,terraced_pct,0.21367936063683285,0.09098385046475
10,Wigan,median_floor_area,0.036480848649602306,0.03901965808521415
10,Wigan,electric_fuel_pct,0.14646282942363284,0.05729838039626749
10,Wigan,private_rented_pct,0.027364113768009977,0.03758426046925355
10,Wigan,social_rented_pct,4.235154828773693,0.47374332550857434
10,Wigan,imd_score,0.05136141716367075,0.02276294304658887
