model,n,r2,mae_percentage_points,rmse_percentage_points
dummy,1702,-0.04395706758978357,14.030689947533318,17.370514978957182
random_forest,1702,0.7569804444519255,6.431004670900098,8.380925608984159
xgboost,1702,0.7604414185031327,6.378965896506692,8.32103293667091
